지점코드,지점명,측정항목,2026년1월,2026년2월,2026년3월,2026년4월,2026년5월,2026년6월,2026년7월,2026년8월,2026년9월,2026년 10월,2026년11월,2026년12월
1001A06,송천2,분원성대장균군,,,,,,,,,,,,
1001A06,송천2,용해성 철(Fe),,,,,,,,,,,,
1001A06,송천2,불소(F),,,,,,,,,,,,
1001A06,송천2,헥사클로로벤젠,,,,,,,,,,,,
1001A06,송천2,포름알데히드,,,,,,,,,,,,
1001A06,송천2,수은(Hg),,,,,,,,,,,,
1001A06,송천2,수위,2.44,2.42,2.51,2.57,,,,,,,,
1001A06,송천2,용해성 망간(Mn),,,,,,,,,,,,
1001A06,송천2,암모니아성 질소(NH3-N),,,,,,,,,,,,
1001A06,송천2,노말헥산추출물질,,,,,,,,,,,,
1001A06,송천2,니켈(Ni),,,,,,,,,,,,
1001A06,송천2,질산성질소(NO3-N),,,,,,,,,,,,
1001A06,송천2,유기인,,,,,,,,,,,,
1001A06,송천2,납(Pb),,,,,,,,,,,,
1001A06,송천2,폴리클로리네이티드비페닐(PCB),,,,,,,,,,,,
1001A06,송천2,테트라클로로에틸렌(PCE),,,,,,,,,,,,
1001A06,송천2,수소이온농도(pH),8.4,8.9,8.6,9.2,,,,,,,,
1001A06,송천2,페놀류(phenols),,,,,,,,,,,,
1001A06,송천2,인산염 인(PO4-P),,,,,,,,,,,,
1001A06,송천2,셀레늄(Se),,,,,,,,,,,,
1001A06,송천2,부유물질(SS),0.9,1.2,3.4,6.9,,,,,,,,
1001A06,송천2,트리클로로에틸렌(TCE),,,,,,,,,,,,
1001A06,송천2,총대장균군,,,,,,,,,,,,
1001A06,송천2,수온,2.6,3.6,5.6,11.6,,,,,,,,
1001A06,송천2,총질소(T-N),3.403,3.291,3.96,3.061,,,,,,,,
1001A06,송천2,총유기탄소(TOC),1.7,1.6,1.9,2.6,,,,,,,,
1001A06,송천2,총인(T-P),0.021,0.022,0.031,0.051,,,,,,,,
1001A06,송천2,투명도,,,,,,,,,,,,
1001A06,송천2,아연(Zn),,,,,,,,,,,,
1001A07,송천3,음이온계면활성제(ABS),,,,,,,,,,,,
1001A07,송천3,조류,,,,,,,,,,,,
1001A07,송천3,유량,,2.433,2.42,5.802,,,,,,,,
1001A07,송천3,안티몬(Sb),,,,,,,,,,,,
1001A07,송천3,비소(As),,,,,,,,,,,,
1001A07,송천3,바륨(Ba),,,,,,,,,,,,
1001A07,송천3,벤젠,,,,,,,,,,,,
1001A07,송천3,생물화학적산소요구량(BOD),,1.6,1.3,1.9,,,,,,,,
1001A07,송천3,사염화탄소,,,,,,,,,,,,
1001A07,송천3,카드뮴(Cd),,,,,,,,,,,,
1001A07,송천3,클로로포름,,,,,,,,,,,,
1001A07,송천3,염소이온(Cl-),,,,,,,,,,,,
1001A07,송천3,클로로필-a(Chlorophyll-a),,,,,,,,,,,,
1001A07,송천3,시안(CN),,,,,,,,,,,,
1001A07,송천3,화학적산소요구량(COD),,3.4,3,3.4,,,,,,,,
1001A07,송천3,색도,,,,,,,,,,,,
1001A07,송천3,크롬(Cr),,,,,,,,,,,,
1001A07,송천3,6가크롬(Cr6+),,,,,,,,,,,,
1001A07,송천3,구리(Cu),,,,,,,,,,,,
1001A07,송천3,"1,2,-다이클로로에탄",,,,,,,,,,,,
1001A07,송천3,다이클로로메탄,,,,,,,,,,,,
1001A07,송천3,다이에틸헥실프탈레이트(DEHP),,,,,,,,,,,,
1001A07,송천3,"1,4-다이옥세인",,,,,,,,,,,,
1001A07,송천3,용존산소(DO),,13.2,12.4,10.3,,,,,,,,
1001A07,송천3,용존총질소(DTN),,,,,,,,,,,,
1001A07,송천3,용존총인(DTP),,,,,,,,,,,,
1001A07,송천3,전기전도도(EC),,215,236,197,,,,,,,,
1001A07,송천3,분원성대장균군,,,,,,,,,,,,
1001A07,송천3,용해성 철(Fe),,,,,,,,,,,,
1001A07,송천3,불소(F),,,,,,,,,,,,
1001A07,송천3,헥사클로로벤젠,,,,,,,,,,,,
1001A07,송천3,포름알데히드,,,,,,,,,,,,
1001A07,송천3,수은(Hg),,,,,,,,,,,,
1001A07,송천3,수위,,2.3,2.27,2.4,,,,,,,,
1001A07,송천3,용해성 망간(Mn),,,,,,,,,,,,
1001A07,송천3,암모니아성 질소(NH3-N),,,,,,,,,,,,
1001A07,송천3,노말헥산추출물질,,,,,,,,,,,,
1001A07,송천3,니켈(Ni),,,,,,,,,,,,
1001A07,송천3,질산성질소(NO3-N),,,,,,,,,,,,
1001A07,송천3,유기인,,,,,,,,,,,,
1001A07,송천3,납(Pb),,,,,,,,,,,,
1001A07,송천3,폴리클로리네이티드비페닐(PCB),,,,,,,,,,,,
1001A07,송천3,테트라클로로에틸렌(PCE),,,,,,,,,,,,
1001A07,송천3,수소이온농도(pH),,8.9,8.8,8.8,,,,,,,,
1001A07,송천3,페놀류(phenols),,,,,,,,,,,,
1001A07,송천3,인산염 인(PO4-P),,,,,,,,,,,,
1001A07,송천3,셀레늄(Se),,,,,,,,,,,,
1001A07,송천3,부유물질(SS),,2.6,1.7,9.9,,,,,,,,
1001A07,송천3,트리클로로에틸렌(TCE),,,,,,,,,,,,
1001A07,송천3,총대장균군,,,,,,,,,,,,
1001A07,송천3,수온,,1.4,5.3,12.4,,,,,,,,
1001A07,송천3,총질소(T-N),,4.195,3.939,3.447,,,,,,,,
1001A07,송천3,총유기탄소(TOC),,1.7,2.1,2.4,,,,,,,,
1001A07,송천3,총인(T-P),,0.013,0.02,0.047,,,,,,,,
1001A07,송천3,투명도,,,,,,,,,,,,
1001A07,송천3,아연(Zn),,,,,,,,,,,,
1001A10,송천4,음이온계면활성제(ABS),,,0,,,,,,,,,
1001A10,송천4,조류,,,,,,,,,,,,
1001A10,송천4,유량,,,,,,,,,,,,
1001A10,송천4,안티몬(Sb),,,0,,,,,,,,,
1001A10,송천4,비소(As),,,0,,,,,,,,,
1001A10,송천4,바륨(Ba),,,,,,,,,,,,
1001A10,송천4,벤젠,,,,,,,,,,,,
1001A10,송천4,생물화학적산소요구량(BOD),0.2,0.4,0.8,0.8,,,,,,,,
1001A10,송천4,사염화탄소,,,,,,,,,,,,
1001A10,송천4,카드뮴(Cd),,,0,,,,,,,,,
1001A10,송천4,클로로포름,,,,,,,,,,,,
1001A10,송천4,염소이온(Cl-),,,,,,,,,,,,
1001A10,송천4,클로로필-a(Chlorophyll-a),4.5,5,9.5,16.6,,,,,,,,
1001A10,송천4,시안(CN),,,0,,,,,,,,,
1001A10,송천4,화학적산소요구량(COD),2.2,2.4,2.6,3.2,,,,,,,,
1001A10,송천4,색도,,,,,,,,,,,,
1001A10,송천4,크롬(Cr),,,,,,,,,,,,
1001A10,송천4,6가크롬(Cr6+),,,0,,,,,,,,,
1001A10,송천4,구리(Cu),,,,,,,,,,,,
1001A10,송천4,"1,2,-다이클로로에탄",,,,,,,,,,,,
1001A10,송천4,다이클로로메탄,,,,,,,,,,,,
1001A10,송천4,다이에틸헥실프탈레이트(DEHP),,,,,,,,,,,,
1001A10,송천4,"1,4-다이옥세인",,,,,,,,,,,,
1001A10,송천4,용존산소(DO),13.9,14.4,12.4,11.5,,,,,,,,
1001A10,송천4,용존총질소(DTN),3.726,3.436,2.69,2.881,,,,,,,,
1001A10,송천4,용존총인(DTP),0.013,0.012,0.021,0.143,,,,,,,,
1001A10,송천4,전기전도도(EC),119,238,247,169,,,,,,,,
1001A10,송천4,분원성대장균군,0,1,0,0,,,,,,,,
1001A10,송천4,용해성 철(Fe),,,,,,,,,,,,
1001A10,송천4,불소(F),,,,,,,,,,,,
1001A10,송천4,헥사클로로벤젠,,,,,,,,,,,,
1001A10,송천4,포름알데히드,,,,,,,,,,,,
1001A10,송천4,수은(Hg),,,0,,,,,,,,,
1001A10,송천4,수위,,,,,,,,,,,,
1001A10,송천4,용해성 망간(Mn),,,,,,,,,,,,
1001A10,송천4,암모니아성 질소(NH3-N),0.023,0.018,0.014,0.015,,,,,,,,
1001A10,송천4,노말헥산추출물질,,,,,,,,,,,,
1001A10,송천4,니켈(Ni),,,,,,,,,,,,
1001A10,송천4,질산성질소(NO3-N),3.702,3.417,2.675,2.186,,,,,,,,
1001A10,송천4,유기인,,,,,,,,,,,,
1001A10,송천4,납(Pb),,,0,,,,,,,,,
1001A10,송천4,폴리클로리네이티드비페닐(PCB),,,,,,,,,,,,
1001A10,송천4,테트라클로로에틸렌(PCE),,,,,,,,,,,,
1001A10,송천4,수소이온농도(pH),8.4,8.7,8.3,8.2,,,,,,,,
1001A10,송천4,페놀류(phenols),0,0,0,0,,,,,,,,
1001A10,송천4,인산염 인(PO4-P),0.007,0.008,0.01,0.007,,,,,,,,
1001A10,송천4,셀레늄(Se),,,,,,,,,,,,
1001A10,송천4,부유물질(SS),1.2,0.9,1.3,4.8,,,,,,,,
1001A10,송천4,트리클로로에틸렌(TCE),,,,,,,,,,,,
1001A10,송천4,총대장균군,9,2,2,8,,,,,,,,
1001A10,송천4,수온,0.1,0.3,5.1,9,,,,,,,,
1001A10,송천4,총질소(T-N),4.148,3.475,2.983,2.905,,,,,,,,
1001A10,송천4,총유기탄소(TOC),1.6,1.6,1.9,2.2,,,,,,,,
1001A10,송천4,총인(T-P),0.015,0.012,0.022,0.176,,,,,,,,
1001A10,송천4,투명도,,,,,,,,,,,,
